;
S100.000000;
H0.500000;
 ;0.000300;
brs_non_p;18.1626;
fuzzy_token;19.419;
token;43.5953;
H0.600000;
 ;0.000100;0.000200;0.000300;0.000400;0.000500;0.000600;0.000700;0.000800;0.000900;0.001000;0.001100;0.001200;0.001300;0.001400;0.001500;0.001600;0.001700;0.001800;0.001900;0.002000;0.002100;0.002300;0.002400;0.002500;0.002600;0.002700;0.002900;0.003000;0.003100;0.003300;0.003400;0.003500;0.003600;0.003700;0.003800;0.004000;0.004100;0.004200;0.004400;0.004500;0.004700;0.004800;0.004900;0.005000;0.005100;0.005300;0.006100;0.008100;
brs_non_p;44.7677;30.6334;50.5692;222.539;24.2913;57.3874;36.6518;27.5992;202.895;102.752;118.316;546.34;89.3227;581.833;124.922;2411.79;856.835;2501.83;4591.07;5093.53;5470.15;8300.03;10397.1;12094.8;13006.0;12545.1;13634.4;16383.0;15813.0;17853.8;18338.1;20385.9;18851.0;20282.5;19687.4;20034.0;21378.1;22082.4;20806.7;21575.3;23245.7;23412.7;25200.4;23601.3;25094.1;23901.2;25997.2;27790.5;
fuzzy_token;31.0364;26.7982;33.2515;93.0427;23.605;36.2336;29.1576;27.0406;78.3872;46.2813;48.2134;73.0096;43.1419;101.896;46.6469;62.1886;60.6306;82.9556;81.4487;96.6328;100.002;129.474;111.987;125.284;173.549;158.965;215.05;214.469;331.448;309.062;451.352;497.304;528.103;601.236;787.493;1694.55;2416.38;2217.22;2657.73;3228.93;3844.15;4081.13;4730.18;4602.92;4782.16;5172.93;6725.42;9608.9;
token;51.2489;47.3861;53.6619;111.758;46.7593;56.9313;50.5855;49.1566;97.0023;63.1748;66.2574;88.2942;61.9816;115.744;64.6929;74.4527;72.8385;93.6769;87.9316;102.593;103.827;126.936;106.014;114.739;160.074;141.553;187.634;176.082;288.925;248.778;383.14;408.127;437.808;507.527;679.51;1628.53;2382.2;2166.11;2615.43;3191.46;3820.8;4056.99;4707.78;4591.45;4777.14;5164.4;6720.34;9603.88;
H0.700000;
 ;0.000200;0.000300;0.000500;0.000600;0.000700;0.000800;0.000900;0.001000;0.001100;0.001300;0.001500;0.001600;0.001800;0.001900;0.002100;0.002300;0.002400;0.002500;0.002600;0.002700;0.002800;0.003000;0.003100;0.003300;0.003400;0.003500;0.003700;0.003900;0.004000;0.004100;0.004300;0.004400;0.004500;0.004700;0.004800;0.004900;0.005100;0.005300;0.005400;0.005500;0.005600;0.005900;0.006600;0.006900;0.007200;0.007500;0.007700;0.008200;0.009200;
brs_non_p;171.973;278.122;205.043;143.867;128.087;170.089;167.816;439.199;390.347;535.422;1755.34;3186.71;4926.85;4815.31;8400.43;10281.2;12389.3;10415.4;9830.2;11965.7;15789.9;17588.4;16628.9;17252.5;17433.7;20304.4;18740.5;22078.5;21944.3;22372.7;24521.3;22125.9;21078.8;23983.2;23988.3;22375.7;23894.7;24728.8;24046.9;24860.4;24466.8;24618.8;26884.1;26528.7;26932.0;26698.0;27364.2;28386.9;28408.4;
fuzzy_token;81.094;120.095;93.0051;69.0749;61.268;74.9799;67.7399;99.0829;79.4602;140.608;149.132;416.354;182.248;412.919;156.148;193.329;155.13;182.248;124.059;343.945;234.223;727.907;357.302;399.212;484.133;1723.54;1184.36;2590.18;2182.48;2488.28;3867.24;3090.86;2713.22;2978.35;3776.87;3793.03;5121.99;5591.52;5687.84;5546.65;6190.9;6482.06;8612.11;7356.51;8537.98;9470.11;9474.59;10223.0;11098.6;
token;96.5043;134.814;106.747;86.6521;76.1905;89.9047;82.754;109.735;91.227;148.798;155.069;421.448;182.201;416.864;155.251;186.761;151.261;177.107;119.125;336.561;213.227;691.7;324.667;366.923;443.788;1635.13;1097.56;2564.89;2123.73;2436.85;3819.29;3070.23;2686.51;2949.56;3762.11;3767.52;5114.77;5586.85;5684.7;5540.77;6175.27;6477.03;8610.34;7350.71;8532.02;9466.77;9473.27;10221.6;11096.4;
H0.800000;
 ;0.000300;0.000400;0.000500;0.000700;0.001000;0.001500;0.002000;0.002100;0.002400;0.002500;0.002700;0.002800;0.003000;0.003200;0.003300;0.003400;0.003500;0.003600;0.003700;0.003800;0.004200;0.004300;0.004400;0.004500;0.004600;0.004800;0.004900;0.005200;0.005300;0.005400;0.005900;0.006000;0.006100;0.006300;0.006900;0.007300;0.007700;0.008700;
brs_non_p;251.501;430.755;543.023;677.756;1130.45;4410.95;10597.2;14119.6;10894.9;11507.7;16240.8;14397.2;16142.8;14282.0;17390.4;19127.0;20078.7;17748.7;20660.0;21891.3;22779.6;21075.4;23801.2;24553.4;24073.5;24127.6;19287.3;23202.9;24425.3;23655.2;24124.3;25836.8;26277.0;26071.4;27262.6;27130.9;26367.6;25922.1;
fuzzy_token;105.059;174.683;209.02;199.885;380.886;1267.78;1220.56;1919.26;685.081;896.391;574.967;664.075;670.103;645.921;1057.13;2197.32;1845.89;1755.43;1769.35;1574.28;4052.12;1774.42;5121.65;6815.42;6141.95;5297.79;1142.09;6359.83;6608.99;6337.91;6332.91;8536.29;8681.42;7758.18;9954.0;9664.69;8197.76;10122.7;
