;
S100.000000;
H0.500000;
 ;0.000300;
brs_non_p;157.462;
fuzzy_token;136.998;
token;126.08;
H0.600000;
 ;0.000100;0.000200;0.000300;0.000400;0.000500;0.000600;0.000700;0.000800;0.000900;0.001000;0.001100;0.001200;0.001300;0.001400;0.001500;0.001600;0.001700;0.001800;0.001900;0.002000;0.002100;0.002300;0.002400;0.002500;0.002600;0.002700;0.002900;0.003000;0.003100;0.003300;0.003400;0.003500;0.003600;0.003700;0.003800;0.004000;0.004100;0.004200;0.004400;0.004500;0.004700;0.004800;0.004900;0.005000;0.005100;0.005300;0.006100;0.008100;
brs_non_p;169.059;170.322;168.371;173.61;162.767;175.319;168.643;168.023;184.214;190.731;185.963;193.517;188.806;197.618;196.52;203.113;201.738;202.858;202.263;197.124;193.583;186.336;181.828;178.246;172.157;176.959;169.455;166.635;167.864;165.794;159.039;156.245;157.535;159.418;158.134;154.088;153.771;153.675;151.274;150.815;145.746;145.051;146.241;147.898;142.566;145.747;136.123;134.032;
fuzzy_token;139.067;139.412;138.457;137.447;137.119;138.084;137.992;138.066;138.706;139.329;138.901;139.791;139.112;138.973;139.219;140.909;140.529;141.098;141.701;140.701;141.204;141.473;142.313;142.253;141.279;141.027;141.348;139.781;138.949;137.542;135.372;134.035;133.346;132.512;130.815;127.716;126.943;126.764;126.671;126.541;126.263;126.205;126.111;126.172;126.08;126.11;126.08;126.111;
token;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;
H0.700000;
 ;0.000200;0.000300;0.000500;0.000600;0.000700;0.000800;0.000900;0.001000;0.001100;0.001300;0.001500;0.001600;0.001800;0.001900;0.002100;0.002300;0.002400;0.002500;0.002600;0.002700;0.002800;0.003000;0.003100;0.003300;0.003400;0.003500;0.003700;0.003900;0.004000;0.004100;0.004300;0.004400;0.004500;0.004700;0.004800;0.004900;0.005100;0.005300;0.005400;0.005500;0.005600;0.005900;0.006600;0.006900;0.007200;0.007500;0.007700;0.008200;0.009200;
brs_non_p;186.302;184.641;196.661;182.799;195.657;194.682;197.344;209.398;202.373;202.749;204.715;194.982;194.018;196.581;193.3;186.285;184.131;182.687;184.665;179.156;171.287;162.775;164.479;164.779;160.069;157.218;158.749;150.565;151.484;146.181;145.308;151.571;149.774;143.636;146.793;147.311;143.876;144.762;145.794;139.094;142.791;141.401;140.71;138.756;139.429;136.506;136.383;136.57;133.88;
fuzzy_token;140.086;139.238;140.076;139.498;140.823;140.196;139.822;140.917;140.644;139.099;140.431;137.823;141.208;139.079;140.547;140.308;140.846;140.195;141.781;138.872;139.965;135.791;137.713;138.045;135.777;130.26;130.388;127.211;127.447;126.908;127.0;126.413;126.484;126.45;126.352;126.267;126.141;126.111;126.111;126.08;126.111;126.08;126.08;126.08;126.11;126.15;126.141;126.141;126.08;
token;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;
H0.800000;
 ;0.000300;0.000400;0.000500;0.000700;0.001000;0.001500;0.002000;0.002100;0.002400;0.002500;0.002700;0.002800;0.003000;0.003200;0.003300;0.003400;0.003500;0.003600;0.003700;0.003800;0.004200;0.004300;0.004400;0.004500;0.004600;0.004800;0.004900;0.005200;0.005300;0.005400;0.005900;0.006000;0.006100;0.006300;0.006900;0.007300;0.007700;0.008700;
brs_non_p;195.728;196.485;198.242;203.376;208.409;191.003;178.729;179.224;181.877;175.569;166.484;168.405;163.789;163.938;157.832;155.037;158.314;155.386;154.413;153.589;153.703;146.036;145.042;146.411;146.082;144.576;151.438;141.598;142.876;143.529;139.395;142.228;139.53;138.231;138.128;136.113;139.875;135.558;
fuzzy_token;140.811;139.439;139.629;139.593;141.276;138.727;136.226;136.39;137.489;134.991;136.468;137.339;135.887;136.558;134.883;131.336;130.436;131.852;130.367;128.423;126.731;129.021;126.321;126.15;126.172;126.376;131.782;126.08;126.115;126.11;126.11;126.08;126.08;126.111;126.106;126.145;126.11;126.08;
token;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;
H0.900000;
 ;0.000200;0.005900;0.008000;0.009300;0.010100;0.010500;
brs_non_p;181.609;141.976;135.082;134.411;134.763;128.605;
fuzzy_token;135.884;127.209;126.08;126.08;126.08;126.167;
token;126.08;126.08;126.08;126.08;126.08;126.08;
