./data_latencies/,,,,
./data_latencies/S0.500000,,,,
./data_latencies/S0.500000/H0.500000,,,,
0.002,,,,
31.1384724439,./data_latencies/S0.500000/H0.500000/brs_non_p,,,
29.2583982089,./data_latencies/S0.500000/H0.500000/fuzzy_token,,,31.1384724439
78.881091805,./data_latencies/S0.500000/H0.500000/token,,,29.2583982089
./data_latencies/S0.500000/H0.700000,,,,78.881091805
0.002,,,,46.9352704537
46.9352704537,./data_latencies/S0.500000/H0.700000/brs_non_p,,,41.2269223295
41.2269223295,./data_latencies/S0.500000/H0.700000/fuzzy_token,,,119.468645677
119.468645677,./data_latencies/S0.500000/H0.700000/token,,,71.6870403184
./data_latencies/S0.500000/H0.850000,,,,79.0890963768
0.002,,,,215.606920941
71.6870403184,./data_latencies/S0.500000/H0.850000/brs_non_p,,,
79.0890963768,./data_latencies/S0.500000/H0.850000/fuzzy_token,,,
215.606920941,./data_latencies/S0.500000/H0.850000/token,,,
./data_latencies/S100.000000,,,,
./data_latencies/S100.000000/H0.500000,,,,
0.002,,,,
34.0924689468,./data_latencies/S100.000000/H0.500000/brs_non_p,,,
28.8801354076,./data_latencies/S100.000000/H0.500000/fuzzy_token,,,
82.9579538928,./data_latencies/S100.000000/H0.500000/token,,,
./data_latencies/S100.000000/H0.700000,,,,34.0924689468
0.002,,,,28.8801354076
45.8724746224,./data_latencies/S100.000000/H0.700000/brs_non_p,,,82.9579538928
44.4185649148,./data_latencies/S100.000000/H0.700000/fuzzy_token,,,45.8724746224
113.151448236,./data_latencies/S100.000000/H0.700000/token,,,44.4185649148
./data_latencies/S100.000000/H0.850000,,,,113.151448236
0.002,,,,110.846489443
110.846489443,./data_latencies/S100.000000/H0.850000/brs_non_p,,,80.5073563887
80.5073563887,./data_latencies/S100.000000/H0.850000/fuzzy_token,,,205.78136715
205.78136715,./data_latencies/S100.000000/H0.850000/token,,,
