./data_latencies/,,,,
./data_latencies/S0.500000,,,,
./data_latencies/S0.500000/H0.500000,,,,
0.0025,,,,
110.60263688,./data_latencies/S0.500000/H0.500000/brs_non_p,,,110.60263688
64.4494692654,./data_latencies/S0.500000/H0.500000/fuzzy_token,,,64.4494692654
96.9333766471,./data_latencies/S0.500000/H0.500000/token,,,96.9333766471
./data_latencies/S0.500000/H0.700000,,,,93.1009093297
0.0025,,,,80.8380237206
93.1009093297,./data_latencies/S0.500000/H0.700000/brs_non_p,,,145.244765381
80.8380237206,./data_latencies/S0.500000/H0.700000/fuzzy_token,,,210.160898896
145.244765381,./data_latencies/S0.500000/H0.700000/token,,,135.3923559
./data_latencies/S0.500000/H0.850000,,,,273.915751854
0.0025,,,,
210.160898896,./data_latencies/S0.500000/H0.850000/brs_non_p,,,
135.3923559,./data_latencies/S0.500000/H0.850000/fuzzy_token,,,
273.915751854,./data_latencies/S0.500000/H0.850000/token,,,
./data_latencies/S100.000000,,,,
./data_latencies/S100.000000/H0.500000,,,,
0.0025,,,,
135.930898213,./data_latencies/S100.000000/H0.500000/brs_non_p,,,
72.5686666324,./data_latencies/S100.000000/H0.500000/fuzzy_token,,,
91.0675948118,./data_latencies/S100.000000/H0.500000/token,,,135.930898213
./data_latencies/S100.000000/H0.700000,,,,72.5686666324
0.0025,,,,91.0675948118
130.638694494,./data_latencies/S100.000000/H0.700000/brs_non_p,,,130.638694494
75.498715961,./data_latencies/S100.000000/H0.700000/fuzzy_token,,,75.498715961
142.093902723,./data_latencies/S100.000000/H0.700000/token,,,142.093902723
./data_latencies/S100.000000/H0.850000,,,,172.454566111
0.0025,,,,207.457567175
172.454566111,./data_latencies/S100.000000/H0.850000/brs_non_p,,,278.80939363
207.457567175,./data_latencies/S100.000000/H0.850000/fuzzy_token,,,
278.80939363,./data_latencies/S100.000000/H0.850000/token,,,
