./data_latencies/,,,,,
./data_latencies/S0.500000,,,,,
./data_latencies/S0.500000/H0.500000,,,,,
0.003,,,,,502.676472516
502.676472516,./data_latencies/S0.500000/H0.500000/brs_non_p,,,,187.71149926
187.71149926,./data_latencies/S0.500000/H0.500000/fuzzy_token,,,,127.158555934
127.158555934,./data_latencies/S0.500000/H0.500000/token,,,,355.424775996
./data_latencies/S0.500000/H0.700000,,,,,221.292568483
0.003,,,,,192.382672952
355.424775996,./data_latencies/S0.500000/H0.700000/brs_non_p,,,,577.140261756
221.292568483,./data_latencies/S0.500000/H0.700000/fuzzy_token,,,,296.620458161
192.382672952,./data_latencies/S0.500000/H0.700000/token,,,,395.421932051
./data_latencies/S0.500000/H0.850000,,,,,
0.003,,,,,
577.140261756,./data_latencies/S0.500000/H0.850000/brs_non_p,,,,
296.620458161,./data_latencies/S0.500000/H0.850000/fuzzy_token,,,,566.442347584
395.421932051,./data_latencies/S0.500000/H0.850000/token,,,,250.091048488
./data_latencies/S100.000000,,,,,121.59737545
./data_latencies/S100.000000/H0.500000,,,,,393.59854943
0.003,,,,,276.078019435
566.442347584,./data_latencies/S100.000000/H0.500000/brs_non_p,,,,168.057392885
250.091048488,./data_latencies/S100.000000/H0.500000/fuzzy_token,,,,694.53381077
121.59737545,./data_latencies/S100.000000/H0.500000/token,,,,439.105381951
./data_latencies/S100.000000/H0.700000,,,,,341.022907285
0.003,,,,,
393.59854943,./data_latencies/S100.000000/H0.700000/brs_non_p,,,,
276.078019435,./data_latencies/S100.000000/H0.700000/fuzzy_token,,,,
168.057392885,./data_latencies/S100.000000/H0.700000/token,,,,
./data_latencies/S100.000000/H0.850000,,,,,
0.003,,,,,
694.53381077,./data_latencies/S100.000000/H0.850000/brs_non_p,,,,
439.105381951,./data_latencies/S100.000000/H0.850000/fuzzy_token,,,,
341.022907285,./data_latencies/S100.000000/H0.850000/token,,,,
