./results/data_throughput/
./results/data_throughput/S0.200000
./results/data_throughput/S0.200000/H0.000000
0.000100;0.001000;0.001200;0.001500;0.001700;0.001900;0.002100;0.002300;0.002600;0.003000;0.003500;0.004000;0.004500;
0.0256061917328;0.256229201498;0.305319110764;0.382327887164;0.436478129095;0.485102761218;0.53917711905;0.579711097611;0.602472022958;0.624211149868;0.628247134413;0.626329844306;0.628091131844;./results/data_throughput/S0.200000/H0.000000/fuzzy_token
