;
S0.100000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;130.850622893;154.641776226;
fuzzy_token;128.392102725;150.816382029;
token;126.08;126.08;
S0.200000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.160474347;158.106722321;
fuzzy_token;128.763914503;137.96249886;
token;126.08;126.08;
S0.300000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.125305178;160.219956644;
fuzzy_token;128.81484936;136.405914539;
token;126.08;126.08;
S0.400000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.187920227;161.460498383;
fuzzy_token;128.710345863;136.713451531;
token;126.08;126.08;
S0.500000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.093357829;160.342316708;
fuzzy_token;128.808042314;136.355253239;
token;126.08;126.08;
S0.600000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.236237359;162.29019156;
fuzzy_token;128.79096892;136.751087785;
token;126.08;126.08;
S0.700000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.04873082;161.690572304;
fuzzy_token;128.855207575;136.369727125;
token;126.08;126.08;
S0.800000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.069767412;161.496156702;
fuzzy_token;128.71986829;136.262896576;
token;126.08;126.08;
S0.900000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.405461364;161.614060063;
fuzzy_token;128.807314286;136.631982917;
token;126.08;126.08;
S1.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.332425592;160.938559101;
fuzzy_token;128.726194158;136.550289374;
token;126.08;126.08;
S10.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;130.99918444;160.241894206;
fuzzy_token;128.697128857;136.570791809;
token;126.08;126.08;
S100.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;131.22061133;163.435824316;
fuzzy_token;128.786802873;136.513366153;
token;126.08;126.08;
