;
S0.100000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.49808815038;36.2202171251;
fuzzy_token;8.3665667172;575.312903846;
token;58.1333804362;3874.73921714;
S0.200000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.57057334582;38.1543462141;
fuzzy_token;8.67502379732;46.1443681915;
token;47.672183729;104.282053663;
S0.300000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.52435700855;39.7587230299;
fuzzy_token;8.76391062982;38.6090313603;
token;44.9906803913;75.5609375296;
S0.400000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.54327543064;44.5827282467;
fuzzy_token;8.65268280175;38.0133321804;
token;43.7323232812;68.671187227;
S0.500000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.53630281344;52.5950489622;
fuzzy_token;8.69228321447;37.2333088073;
token;43.5132391306;64.6554519979;
S0.600000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.5991271568;51.2482175674;
fuzzy_token;8.69704335477;37.1794573302;
token;42.9422528365;63.290385544;
S0.700000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.52120346645;47.0166991133;
fuzzy_token;8.79369193685;36.7605949509;
token;42.9882225369;62.3303255674;
S0.800000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.53019613391;44.7377576759;
fuzzy_token;8.6993581361;36.4299817481;
token;42.9836783719;61.9932322031;
S0.900000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.61583561998;48.9809128561;
fuzzy_token;8.76017618834;37.6349464516;
token;42.9992838938;61.9424121345;
S1.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.56950787074;45.632493477;
fuzzy_token;8.65918316649;37.5011691172;
token;42.6677980386;61.4481391745;
S10.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.50056788588;36.2754975959;
fuzzy_token;8.63838491539;37.3952203706;
token;42.8388073577;61.1579344558;
S100.000000;
H0.000000;
 ;0.000700;0.001700;
brs_non_p;6.56991121388;47.6134979806;
fuzzy_token;8.75331443221;37.3472701499;
token;42.9979088773;60.9236909752;
