./data/,,,,,,,,,,,,,,,,,,,,,,,,,,
./data/S0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
./data/S0.500000/H0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,32,50,100,128,150,200,250,300,350,400,450,500,512,550,600,650,700,750,800,850,900,950,1000,1024,
14.2566671815,14.5582588134,17.1949585168,20.3010503175,304.881271152,1325.6983286,2684.983858,6438.92801563,10995.6332569,13867.8986079,17346.2423339,20284.8377798,21681.1985359,24055.4767441,24037.7156174,25618.9439894,26774.1384933,27845.0605829,29293.89241,30058.7387117,30981.7407534,31584.8546583,32674.6264532,33123.0213519,33276.6796028,34012.7609249,./data/S0.500000/H0.500000/brs_non_p
13.3249244005,13.8937999034,15.2849640792,19.7060240493,158.772785799,424.665783983,732.086550032,1804.81322278,3921.2642668,6378.62656605,6929.96569373,7710.19762542,8519.59227069,9170.88048895,9276.53286566,9733.37748126,10140.1450392,10438.6923857,10827.811234,11061.2873699,11493.2218158,11779.1575674,11943.0616552,12110.8609884,12351.566731,12521.7977022,./data/S0.500000/H0.500000/fuzzy_token
103.045988861,123.245895281,203.024648619,339.828702375,1391.96541012,2460.64212545,3408.31530939,5416.65940572,7065.74718903,8573.61555691,9720.52120066,10991.3793078,12019.5926302,12857.6228207,12981.3795809,13518.7757539,14319.6484194,14822.6866883,15497.7378127,15988.2200928,16445.7364617,16899.7588452,17335.6366981,17720.2221124,17975.8808329,18251.6942208,./data/S0.500000/H0.500000/tdma_fixed
106.865048256,133.547564637,219.009225327,338.54104262,1066.77993788,2113.52622747,3280.450155,5835.65117646,8179.14185752,10056.6581699,11426.3377115,12640.0569671,13621.2419374,14495.6993528,14325.1534828,15151.3451458,15897.095888,16372.0716376,16866.4496662,17303.1598638,17782.9132192,18179.2286262,18408.6377712,18824.479876,19159.9852127,19236.0390738,./data/S0.500000/H0.500000/tdma_weighted
29.4608542686,35.5178011288,56.7667226459,99.1954156924,427.779264424,1627.6254332,2789.61369381,5726.24213672,8099.16076942,9832.63537938,11555.9819668,13035.2567056,14157.788031,15013.1948881,15425.3960032,15979.5700446,16641.123677,17273.2016545,17801.4141058,18498.7957479,18899.757895,19233.2820074,19799.0090664,19911.7994018,20467.2450964,20474.3666858,./data/S0.500000/H0.500000/token
./data/S0.500000/H0.900000,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,32,50,100,128,150,200,250,300,350,400,450,500,512,550,600,650,700,750,800,850,900,950,1000,1024,
51.6130221042,48.2853788104,52.8387340055,69.1541442279,598.635432288,2138.35595146,3535.7306683,6823.19013535,11098.2680758,13434.4694036,16455.7925231,18408.9151849,19779.0603256,21793.0131158,22351.544466,22895.413604,23786.7074338,25082.1323272,26403.5792175,27287.5662357,26852.6316988,28511.8155095,28484.6949785,29635.3705362,29278.054199,30134.1327619,./data/S0.500000/H0.900000/brs_non_p
48.8575339014,42.4339948214,44.0346199659,55.8121316087,453.528150083,1365.66058162,1680.27180561,3664.04739662,4425.50140875,6252.00140666,5956.63138277,6265.61253564,6449.262549,6916.682825,7161.16830304,7170.71883413,7775.60638414,8059.95882582,8392.85069978,8039.38255798,8722.51113435,8922.78727915,9241.27583084,8633.16467006,9146.17276781,9023.65198285,./data/S0.500000/H0.900000/fuzzy_token
420.038628371,576.08176199,855.324019182,1167.95570515,2717.44981937,3567.84595002,4227.78747375,5633.11199587,6827.84697012,8007.31433576,8800.30914101,9163.99434232,9949.67245541,10753.0668147,10889.1193878,10717.9292256,11857.1683792,12590.8424927,12069.4687912,13032.3171482,13475.6567107,13824.8124191,13711.7068731,14242.489891,14159.1232539,14485.0332832,./data/S0.500000/H0.900000/tdma_fixed
419.91749941,551.451479005,803.72730738,1207.66073887,2602.7213086,3631.85247158,4313.86831217,6096.85778614,7394.0500257,8492.41708521,9445.23027285,9063.63016064,10468.7756523,10818.6086234,11416.5669253,11713.4990007,12046.6477378,13088.4490466,13422.3969834,13138.0188325,14074.8133133,14152.8060693,14342.578625,14291.2717173,14055.9644288,14758.4990286,./data/S0.500000/H0.900000/tdma_weighted
107.767196374,133.496049312,205.206744124,309.922435543,1135.35628985,2245.5329279,3074.97224381,5128.49471598,6791.29640383,7627.68299672,9355.7779761,9738.31398127,10711.8437157,11570.3610684,11489.8863861,12165.5461706,12719.7580732,13270.4868817,13339.0069675,13854.5484381,13899.5877135,14658.5223285,14547.4365268,15242.987543,14710.4491819,15391.5612903,./data/S0.500000/H0.900000/token
./data/S10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
./data/S10.000000/H0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,32,50,100,128,150,200,250,300,350,400,450,500,512,550,600,650,700,750,800,850,900,950,1000,1024,
14.1266002519,15.1033138184,16.3766445968,20.2065295946,400.262256623,1886.39254414,3943.90184589,9123.37145514,13833.17483,17058.3366474,20676.1516816,23458.1881161,25709.9342765,26985.6630265,27234.1154354,28277.697996,29564.5404457,30370.5400393,31363.9884506,32245.8388983,32799.6249867,33313.654083,34281.1935643,34433.8681914,35166.6426268,35158.6203905,./data/S10.000000/H0.500000/brs_non_p
13.4862122984,14.1211826763,15.8347912942,18.9893642286,176.082789386,641.890888564,1339.29914896,3748.22522546,5353.47241432,7056.19105148,8555.07491082,9630.98319628,10480.8239857,11111.8305838,11263.078025,11730.9838731,12144.319202,12550.122616,12943.6027367,13218.7641041,13406.2600448,13649.6165673,13943.7659204,14050.0298316,14476.6878921,14439.5809848,./data/S10.000000/H0.500000/fuzzy_token
109.73746365,129.449041326,202.279561903,324.706896001,986.049653555,1960.47477258,3353.84435559,6681.49485289,9400.32268931,11320.8761499,12912.5603561,13984.6574467,14727.7476974,15511.4832383,15677.2873659,16074.1366989,16715.1107922,16966.2587606,17527.4354502,17914.3825996,18304.8427274,18588.2461779,18958.3200919,19205.1938283,19469.5027801,19510.059536,./data/S10.000000/H0.500000/tdma_fixed
107.543201112,133.419206248,217.407560838,386.920533307,1462.20503803,2522.81815936,3650.51275988,6827.27577,9585.41646457,11756.534596,13289.0336398,14476.9378939,15521.9194033,16168.3555207,16467.9378302,16836.8916719,17391.0862281,17880.3648878,18355.6204747,18640.6344602,19018.830341,19433.7563625,19671.9771873,19996.330332,20180.0483529,20343.9303593,./data/S10.000000/H0.500000/tdma_weighted
28.8625099231,36.7008067063,56.8416035209,99.5581022623,402.321260487,1980.28337084,4746.9682571,9544.54818189,12725.6885379,14897.0604867,16349.9074844,17454.6733912,18415.5495967,19158.7232923,19267.0819027,19511.1857161,20148.3072063,20594.8674918,20866.2052861,21552.5155348,21773.1881588,22066.8877828,22452.4894842,22684.6796801,22842.9777237,23075.8979416,./data/S10.000000/H0.500000/token
./data/S10.000000/H0.900000,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,32,50,100,128,150,200,250,300,350,400,450,500,512,550,600,650,700,750,800,850,900,950,1000,1024,
58.7576365126,51.6010668458,55.6457751803,65.4167515809,808.405323725,2579.4806362,4193.21682512,8444.83984934,12084.3491272,14628.9406208,17309.6129192,20202.7318755,22110.2857796,23121.3898014,22866.8229294,23347.5845973,25464.0364683,26068.7397294,26858.8806373,27342.1154258,27912.600049,27482.4582796,29019.5513133,29127.103495,30302.3478847,30018.5963167,./data/S10.000000/H0.900000/brs_non_p
50.6393056112,44.7017219332,48.1270081422,63.2183802788,773.473521781,1445.72823042,2536.48415058,5291.1137605,5263.43157108,5974.37555459,6830.67553906,6880.67901519,7241.33529511,7991.10428268,8030.85012758,8305.27539635,8448.57036067,8610.20690815,9189.69652824,8963.02626581,8909.85737857,9227.86085502,9737.73144973,9685.79548252,10077.1755307,9682.05208718,./data/S10.000000/H0.900000/fuzzy_token
399.177436163,604.268110444,899.133498541,1287.82586657,2644.10789261,3688.7658307,4659.9869521,6262.02405236,7535.11617061,8814.30369704,9538.35923748,10395.5530986,10904.6200409,11688.9031353,10969.0713598,11988.4678668,12075.3909565,12768.5927576,13386.2782077,13776.0361973,13956.8340401,13929.6475752,13879.727637,14498.2098397,14086.8139328,14573.6949834,./data/S10.000000/H0.900000/tdma_fixed
481.060132194,584.372776087,820.740398057,1334.98110521,3023.99968765,4212.39149065,5132.67235929,7217.08208493,7637.2725711,9726.52795622,10708.9135702,10396.3550508,11078.338204,11645.8371986,11238.8873106,11915.3799436,12933.7044578,13492.3594725,12713.7810761,14054.6271121,12847.5704612,13402.6570408,13558.3637467,14354.7398393,14094.4662451,14271.1437536,./data/S10.000000/H0.900000/tdma_weighted
120.196184039,143.707694982,215.3492299,335.469839793,1091.07743051,2560.19318606,3899.60522346,6334.09921647,7783.76999321,9407.33667645,10693.8063927,11232.9451921,12030.5325017,12523.2105844,12537.3685673,13076.519483,13395.337656,13730.6557503,14291.557699,14536.3087216,15203.4153714,15387.9331039,14948.29474,16048.4520723,15553.2547127,15695.3072472,./data/S10.000000/H0.900000/token
