;
S100.000000;
H0.000000;
 ;0.000100;0.000200;0.000300;0.000400;0.000500;0.000600;0.000700;0.000800;0.000900;0.001000;0.001100;0.001200;0.001300;0.001400;0.001500;0.001600;0.001700;0.001800;0.001900;0.002000;0.002100;0.002200;0.002300;0.002400;0.002500;0.002600;0.002700;0.002800;0.002900;0.003000;0.003100;0.003200;0.003300;0.003400;0.003500;0.003600;0.003700;0.003800;0.003900;0.004000;0.004500;0.005000;0.005500;0.006000;0.006500;
brs_non_p;126.491991595;126.945781682;127.491912514;128.294543838;129.070051006;130.320618987;131.133743229;132.429806586;133.835775427;136.155592665;137.913654973;139.939560518;142.424955031;145.199387067;149.865597237;156.032682653;161.135277054;169.929618119;178.18681624;185.255191163;186.596264751;189.97029857;184.791360977;181.010354614;180.316325847;178.336230827;177.355130351;174.036021024;169.462568834;167.534750069;165.602823536;165.047549501;164.046497085;161.863646901;161.336620229;160.210551314;159.379724835;156.801624567;155.719233275;155.061211255;150.633720319;146.064858866;141.704847369;142.640159356;140.588595593;
fuzzy_token;126.308595236;126.580376555;126.90595809;127.235320271;127.872179164;128.304902934;128.709073172;129.36638393;130.001288361;130.749077437;131.147161339;131.966454727;132.667121578;133.652031054;134.044177977;135.425382674;136.856479036;137.742378252;138.962232024;139.637113732;141.124926829;142.563954545;142.798270929;143.5233881;143.440340033;143.661420803;143.237104706;142.641721778;141.658664683;140.904383454;139.816735985;138.692306901;137.412824047;136.082136391;134.62278113;133.034313076;131.674920782;130.456692112;129.037324735;128.385489124;126.504394246;126.190986417;126.141598323;126.115598118;126.08;
token;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;126.08;
